"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"FACILECOMM - SHIPPINGBO","https://www.shippingbo.com/","https://www.facebook.com/Shippingbo/","https://www.linkedin.com/company/shippingbo-fr","https://twitter.com/BoShipping","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@shippingbo.com","3 avenue de l Europe
Batiment D
31400 Toulouse
FRANCE
hello@shippingbo.com
https://www.shippingbo.com/","Omni logistics strategy and technology: new standards for omnichannel e-commerce to meet 2023’s challenges!","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Multi-channel logistics
Order management
Predictive tools / Statistical tools / Multi-channel analysis
Return management (reverse logistics)
Storage / Drop shipping
Warehouse Management / Inventory Management / Financial Management","Solutions Workshops","Omni logistics strategy and technology: new standards for omnichannel e-commerce to meet 2023’s challenges!","",""
"CASTLES TECHNOLOGY","http://www.castlestechemea.com","","https://www.linkedin.com/company/castles-technology-emea/posts/?feedView=all&viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact.emea@castlestech.com","13 avenue Morane Saulnier
78140 Velizy-Villacoublay
FRANCE
contact.emea@castlestech.com
http://www.castlestechemea.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Biometrics
Contactless payment
M-payment
Payment Kiosk / Payment terminal
Secure payment","","","",""
"HIKVISION FRANCE","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","6 rue Paul Cezanne
93360 Neuilly Plaisance
FRANCE","","","","","","","",""
"NEPTING","https://www.nepting.com/","","https://www.linkedin.com/company/nepting/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@nepting.com","90 rue de la sauge
34130 Saint-Aunes
FRANCE
contact@nepting.com
https://www.nepting.com/","","Nepting, editor of an omnichannel payment platform and provider of associated payment services, offers a complete range of solutions around its unique, next-generation centralized cloud Acceptance System (mPOS, Softpos, light TPE, WebInStore, retail, vending machine, e-commerce), in order to respond to all the purchasing experiences of any type of business.","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
Secure payment","","","",""
"WISEASY","http://www.wiseasy.com","https://www.facebook.com/WiseasyGroup","http://www.linkedin.com/company/19053164/","https://twitter.com/WiseasyGroup","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/chn.svg","CHINA","mk@wiseasy.com","7th floor, block B, Wangxin Mansion
N°28 Xiaoyun road, Chaoyang district
100192 Beijing
CHINA
mk@wiseasy.com
http://www.wiseasy.com","How Wiseasy is digitally reinventing the Retail experience and brand adoption?","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Payment Kiosk / Payment terminal","Solutions Workshops","How Wiseasy is digitally reinventing the Retail experience and brand adoption?","",""
"IZBERG","https://www.izberg-marketplace.com/","","https://www.linkedin.com/company/2525286/admin/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@izberg-marketplace.com","28 rue Jacques Ibert
Carré Champerret
92300 Levallois-Perret
FRANCE
contact@izberg-marketplace.com
https://www.izberg-marketplace.com/","How did Maxxess, the motorbike's leader, gain its leadership position through the Marketplace model by digitising its points of sale ?","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller","Solutions Workshops","How did Maxxess, the motorbike's leader, gain its leadership position through the Marketplace model by digitising its points of sale ?","",""
"Monetico Retail - CIC","https://www.monetico-retail.com","","https://www.linkedin.com/company/monetico-retail/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","virginie.dhellemmes@e-i.com","4 Rue Frédéric-Guillaume Raiffeisen
67000 Strasbourg
FRANCE
virginie.dhellemmes@e-i.com
https://www.monetico-retail.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment
Payment Kiosk / Payment terminal
Secure payment","","","",""
"FEC FRANCE","http://www.fecpos.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@fecfrance.com","2 rue Louis Broglie
77400 Saint-Thibault-des-Vignes
FRANCE
contact@fecfrance.com
http://www.fecpos.fr","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Interactive terminals","","","",""
"SOFINCO Partner","http://www.sofinco.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","nleroux@ca-cf.fr","1 rue Victor Basch
91068 Massy
FRANCE
nleroux@ca-cf.fr
http://www.sofinco.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Payment card solutions","","","",""
"WIDELY","http://www.wide.ly","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cecilia.lenvo@mobsuccess.com","25 rue du 4 Septembre
75002 Paris
FRANCE
cecilia.lenvo@mobsuccess.com
http://www.wide.ly","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Marketing automation","","","",""
"Dresma","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/usa.svg","UNITED STATES","siddharth@dresma.com","19925 Stevens Creek Blvd
Suite 100
95014 Cupertino
UNITED STATES
siddharth@dresma.com","","","","","","","",""
"VEGA FRANCE","http://www.vegafrance.eu","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@vegafrance.eu","52 rue Jacques Babinet
31100 Toulouse
FRANCE
contact@vegafrance.eu
http://www.vegafrance.eu","","","MARKETING","RETAIL TECH / DIGITAL IN STORE
Digital signage
Dynamical POS advertising","","","",""
"Pledg","https://pledg.co/","","https://www.linkedin.com/company/pledg/?originalSubdomain=fr","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@pledg.co","95 rue Saint-Lazare
75009 Paris
FRANCE
sales@pledg.co
https://pledg.co/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Online payment
Secure payment","","","",""
"edco international","http://www.edco-logistics.com","https://www.facebook.com/edcointernational","https://www.linkedin.com/company/edco-logistics","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/mar.svg","MOROCCO","a.daher@edco-logistics.com","Quartier Al Houda 
Bloc I -  Immeuble 34
.80000 Agadir
MOROCCO
a.daher@edco-logistics.com
http://www.edco-logistics.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
Return management (reverse logistics)
Warehouse Management / Inventory Management / Financial Management","","","",""
"CHAPSVISION","http://www.chapsvision.com","","https://www.linkedin.com/company/chapsvision/","https://twitter.com/chapsvision/","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@chapsvision.com","4 rue du Port aux Vins
92150 Suresnes
FRANCE
contact@chapsvision.com
http://www.chapsvision.com","","Customer engagement & value creation from your data","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
E-Catalogues
E-merchandising
Search engine / Vocal assistants
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Multi-channel logistics
Order management
Return management (reverse logistics)
Warehouse Management / Inventory Management / Financial Management
MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
DMP / Data Management
Loyalty 
Marketing automation
RETAIL TECH / DIGITAL IN STORE
Mobile applications","","","NP6 by ChapsVsion","NP6 by ChapsVision is an omnichannel Marketing Automation solution that increases customer engagement and loyalty and boosts your growth. Communicate on your customers' favorite channels. Aggregation, segmentation, pathway automation, message design, multi-channel delivery, hyper-personalized experience."
"Vercel","https://vercel.com/","","https://www.linkedin.com/company/vercel/mycompany/","https://twitter.com/vercel","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/usa.svg","UNITED STATES","productadvocates@vercel.com","340 S. Lemon Street Avenue
CA 91789 Walnut
UNITED STATES
productadvocates@vercel.com
https://vercel.com/","How Ysé increased page views, session duration, and revenue by employing a headless architecture ?","","AGILE CUSTOMER EXPERIENCE","IT FOR COMMERCE
Technical integration
Website hosting","Solutions Workshops","How Ysé increased page views, session duration, and revenue by employing a headless architecture ?","",""
"SUNMI Technology","http://www.sunmi.com/en-US","https://www.facebook.com/sunmitech","https://www.linkedin.com/company/sunmi/","https://twitter.com/Sunmi_tech","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sunmi.tech","186 avenue Thiers
69006 Lyon
FRANCE
contact@sunmi.tech
http://www.sunmi.com/en-US","","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Interactive terminals","","","",""
"TRUSTECH 2022","http://www.trustech-event.fr","https://www.facebook.com/Trustech-Event-267742266693662/?fref=nf","https://www.linkedin.com/groups/4266291/","https://twitter.com/TRUSTECH_Event","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@trustech-event.com","Immeuble Wilson
70 avenue du Général de Gaulle
92058 Paris - La Défense
FRANCE
sales@trustech-event.com
http://www.trustech-event.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Biometrics
Fintech","","","",""
"JDC SA","http://www.jdc.fr","https://www.facebook.com/groupejdcsa/","https://fr.linkedin.com/company/jdc-sa","https://twitter.com/groupejdcsa?lang=fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@jdc.fr","Parc de Chavailles
4 rue Christian Franceries
33520 Bruges
FRANCE
contact@jdc.fr
http://www.jdc.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
Secure payment","","","",""
"Juni","http://www.juni.co","https://www.facebook.com/getjuni","https://www.linkedin.com/company/getjuni/","https://twitter.com/getjuni","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/swe.svg","SWEDEN","ana@juni.co","Kungsportsavenyn 21
411 36 Gothenburg
SWEDEN
ana@juni.co
http://www.juni.co","Go global with Juni!","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment
Payment card solutions","Solutions Workshops","Go global with Juni!","",""
"GS1 FRANCE","https://www.gs1.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","infos@gs1fr.org","21 Boulevard Haussmann
75009 Paris
FRANCE
infos@gs1fr.org
https://www.gs1.fr","Why CodeOnline is becoming the Retail GTIN platform?","","","","Solutions Workshops","Why CodeOnline is becoming the Retail GTIN platform?","",""
"Soledis","https://www.groupe-soledis.com","https://www.facebook.com/groupe.soledis","https://www.linkedin.com/company/soledis/","https://twitter.com/soledis","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@groupe-soledis.com","9 avenue Georges Pompidou
56000 Vannes
FRANCE
contact@groupe-soledis.com
https://www.groupe-soledis.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Technical integration
Websites development / E-shops","","","",""
"LYRA","http://www.lyra.com/fr","","https://www.linkedin.com/company/lyra-network_2/","https://twitter.com/LyraNetwork","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@lyra-network.com","109 rue de l'Innovation
31670 Labège
FRANCE
contact@lyra-network.com
http://www.lyra.com/fr","How to benefit from frictionless and payment initiation by transfer to improve your conversion ?","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
M-payment
Online payment
Secure payment","Solutions Workshops","How to benefit from frictionless and payment initiation by transfer to improve your conversion ?","",""
"SEVEN SENDERS","https://sevensenders.com/fr","","https://www.linkedin.com/company/seven-senders/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","t.mervaillie@sevensenders.com","26 rue Marbeuf
75008 Paris
FRANCE
t.mervaillie@sevensenders.com
https://sevensenders.com/fr","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Logistics & Supply chain softwares","","","",""
"ORO","https://oroinc.com/fr","https://www.facebook.com/OroCommerce-333319140210515/","https://www.linkedin.com/showcase/oro-france/","https://twitter.com/OroFrance","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@oroinc.com","1901 avenue of the Stars - Suite 1900
90067 Los Angeles
FRANCE
info@oroinc.com
https://oroinc.com/fr","eCommerce Platform: B2B vs B2C ","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller","Solutions Workshops","eCommerce Platform: B2B vs B2C","",""
"Reetags","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","24 rue de la tour
92190 Meudon
FRANCE","","","","","","","",""
"Sendcloud","https://www.sendcloud.fr/","https://www.facebook.com/SendCloudFR","https://www.linkedin.com/company/sendcloud","https://twitter.com/Sendcloud","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","contact@sendcloud.sc","2-4 rue Jules Lefebvre
75009 Paris
NETHERLANDS
contact@sendcloud.sc
https://www.sendcloud.fr/","Shanty Biscuits: what is the secret recipe for a successful customer experience?","","SUPPLY CHAIN","IT FOR COMMERCE
E-commerce platforms
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares","Solutions Workshops","Shanty Biscuits: what is the secret recipe for a successful customer experience?","",""
"ATAWA INTERACTIVE","http://www.atawa-interactive.fr","https://www.facebook.com/atawainteractive","https://www.linkedin.com/company/atawa-interactive/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@atawa-interactive.fr","Parc Aquilae - Bat D
Rue de la Blancherie
33370 Artigues
FRANCE
contact@atawa-interactive.fr
http://www.atawa-interactive.fr","Digitizing the customers experience to increase attractiveness of supermarkets","","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Digital signage
Dynamical POS advertising 
Interactive terminals
Touch screens / Touch tables","Solutions Workshops","Digitizing the customers experience to increase attractiveness of supermarkets","",""
"imagino","https://www.imagino.com","","https://www.linkedin.com/company/imagino-software/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@imagino.com","45-47 avenue Carnot
94230 Cachan
FRANCE
info@imagino.com
https://www.imagino.com","Building and activating your omnichannel marketing customer repository: feedback from imagino CDP","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
Marketing automation","Solutions Workshops","Building and activating your omnichannel marketing customer repository: feedback from imagino CDP","",""
"SES-IMAGOTAG","https://www.ses-imagotag.com/fr/","","https://www.linkedin.com/company/ses-imagotag/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@ses-imagotag.com","55 place Nelson Mandela
92000 Nanterre
FRANCE
sales@ses-imagotag.com
https://www.ses-imagotag.com/fr/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Tag manufacturers and labelling machines","","","",""
"CDI MÉDIAS & SERVICES","https://www.cdimedias.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","100 rue La Fayette
75010 Paris
FRANCE

https://www.cdimedias.com","","","","FEDERATIONS / ASSOCIATIONS / PRESS
Press","","","",""
"DATAMILK","https://www.datamilk.ai","","https://www.linkedin.com/company/datamilkapp/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/usa.svg","UNITED STATES","partners@datamilk.app","5101 South Holt Ave
90056 Los Angeles
UNITED STATES
partners@datamilk.app
https://www.datamilk.ai","","","AGILE CUSTOMER EXPERIENCE","MARKETING / DATA / CUSTOMER RELATIONS
AB Testing / Online Selling Efficiency
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"NETMEDIA GROUP","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","98 rue du Château
92100 Boulogne-Billancourt
FRANCE","","","","FEDERATIONS / ASSOCIATIONS / PRESS
Press","","","",""
"WE+","https://we-plus.fr/","","https://www.linkedin.com/company/we-plus/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@we-plus.fr","980 avenue Roumanille
06410 Biot
FRANCE
contact@we-plus.fr
https://we-plus.fr/","","","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller","","","",""
"Forter","https://www.forter.com","https://www.facebook.com/globalforter/","https://www.linkedin.com/company/forter/","https://twitter.com/forterglobal?lang=en","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/isr.svg","ISRAEL","kirsty.bell@forter.com","Coeur Marais, 64-66 Rue des Archives
75003 Paris
ISRAEL
kirsty.bell@forter.com
https://www.forter.com","","","AGILE CUSTOMER EXPERIENCE","PAYMENT SOLUTIONS
Cyber security
Payment card solutions","","","",""
"LIEM","https://liem.fr/","","https://www.linkedin.com/company/liem/","https://mobile.twitter.com/LiemSociete","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","a.merrouk@liem.fr","Route de la Libération
ZA de la Vielle Vigne
89150 Vallery
FRANCE
a.merrouk@liem.fr
https://liem.fr/","","","NEW MEANS OF PAYMENT","IT FOR COMMERCE
Technical integration
PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal","","","",""
"ACCES DIFFUSION","http://www.accesdiffusion.com/","","https://www.linkedin.com/in/laurent-mac%C3%A9-a11a3132/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@accesdiffusion.com","ZI les Espinets
Quartier le Logisson
07000 St Julien en St Alban
FRANCE
contact@accesdiffusion.com
http://www.accesdiffusion.com/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
RFID / Multichannel traceability
RETAIL TECH / DIGITAL IN STORE
Computer equipment / Smartphone / Tablets","","","",""
"Trustpilot","https://fr.business.trustpilot.com/","https://www.facebook.com/Trustpilot","https://www.linkedin.com/company/trustpilot/mycompany/","https://twitter.com/Trustpilot","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/dnk.svg","DENMARK","tbb@trustpilot.com","Pilestraede 58- 5th Floor
1112 Copenhague K 
DENMARK
tbb@trustpilot.com
https://fr.business.trustpilot.com/","Purpose-driven marketing: Should your brand take a stand ?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Social Marketing / Community management
Viral Buzz & Marketing","Solutions Workshops","Purpose-driven marketing: Should your brand take a stand ?","",""
"CEGID","https://www.cegid.com/fr/produits/cegid-retail/","https://www.facebook.com/CegidGroup/","https://www.linkedin.com/showcase/cegid-retail/","https://twitter.com/CegidFrance","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","retail@cegid.fr","52 quai Paul Sédallian
69279 Lyon Cedex 09
FRANCE
retail@cegid.fr
https://www.cegid.com/fr/produits/cegid-retail/","Consumer experience or seller experience? Why choose ? Come and discover our 360° customer cases","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Logistics & Supply chain softwares
Order management
MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Decision-making software / Cloud
Loyalty 
RETAIL TECH / DIGITAL IN STORE
Mobile applications
Softwares / ERP / Analytics","Solutions Workshops","Consumer experience or seller experience? Why choose ? Come and discover our 360° customer cases","Cegid Retail Store Performance Dashboard","Designed for store managers, Cegid Retail Store Performance Dashboard provides an overview of the performance of each store: customer consumption habits, product and team performance, to optimize their management and better position themselves against their competitors."
"VTEX Commerce","https://vtex.com/us-en/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","commercial@vtex.com","WeWork Aviation house, 125 Kingsway
WC2B 6NH London
FRANCE
commercial@vtex.com
https://vtex.com/us-en/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Order management","","","",""
"EVRI","http://www.evri.com","https://www.facebook.com/evridelivery","https://www.linkedin.com/company/evridelivery/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","nlsales@evri.com","Capitol House, 1 capitol Close
LS27 0WH Morley
UNITED KINGDOM
nlsales@evri.com
http://www.evri.com","Destination UK","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Cross-border logistics
Express delivery / Final mile delivery","Solutions Workshops","Destination UK","",""
"BAZAARVOICE","http://www.bazaarvoice.com/fr/","https://www.facebook.com/Bazaarvoice/","https://www.linkedin.com/company/bazaarvoice/","https://twitter.com/bazaarvoice","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@bazaarvoice.com","33 avenue de Wagram
75017 Paris
FRANCE
info@bazaarvoice.com
http://www.bazaarvoice.com/fr/","Electro Dépôt makes customer feedback a central pillar of its marketing strategy with Bazaarvoice","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
Social Marketing / Community management","Solutions Workshops","Electro Dépôt makes customer feedback a central pillar of its marketing strategy with Bazaarvoice","",""
"TGNDATA","http://www.tgndata.com","https://www.facebook.com/tgndata/","https://www.linkedin.com/company/tgndata/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@tgndata.com","13 Ludwig str.
95126 Schwarzenbach-ad-Saale
FRANCE
sales@tgndata.com
http://www.tgndata.com","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
Data / Effectiveness measurement / Processing / Database","","","",""
"Spiriit","https://www.spiriit.com/","https://www.facebook.com/agencespiriit/","https://www.linkedin.com/company/spiriit/","https://twitter.com/agence_spiriit","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@spiriit.com","425 rue Alfred Nobel
34000 Montpellier
FRANCE
hello@spiriit.com
https://www.spiriit.com/","Does your agency have the same objectives as you? Opt for performance-based engagement to grow your business","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
IT FOR COMMERCE
E-commerce platforms
Websites development / E-shops
MARKETING / DATA / CUSTOMER RELATIONS
Analytics / Audit / Audience measuring
Content Marketing / Brand content 
Ergonomics / UX
SEO / SEA
Social Marketing / Community management","Solutions Workshops","Does your agency have the same objectives as you? Opt for performance-based engagement to grow your business","",""
"Néréide","https://www.nereide.fr/","","https://www.linkedin.com/company/nereide/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","information@nereide.fr","8 rue des Déportés
37000 Tours
FRANCE
information@nereide.fr
https://www.nereide.fr/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","","","",""
"PRICER","http://www.pricer.com","","https://www.linkedin.com/showcase/pricer-france/","https://twitter.com/PricerAB","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info-france@pricer.com","3 parc Ariane - Bât. Saturne
2 rue Hélène Boucher
78280 Guyancourt
FRANCE
info-france@pricer.com
http://www.pricer.com","","Pricer offers digital solutions to retailers who want to improve their performance and efficiency without sacrificing the customer shopping experience or the well-being of their employees.","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Digital signage
Labelling / Coding","","","",""
"Synalcom x Qori","https://www.qori.me/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","david@qori.me","25 rue de Ponthieu 
75008 Paris
FRANCE
david@qori.me
https://www.qori.me/","","","","","","","",""
"Greenmetrics","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","8 Place du Marché
92200 NEUILLY SUR SEINE
FRANCE","","","","","","","",""
"LOG'S","https://www.log-s.eu/","","https://www.linkedin.com/company/log's/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@log.fr","390 rue du calvaire
59810 Lesquin
FRANCE
contact@log.fr
https://www.log-s.eu/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Multi-channel logistics
Specialized logistics  (bulky goods, high-tech, fresh goods…)","","","",""
"Klaviyo","https://www.klaviyo.com","","https://www.linkedin.com/company/klaviyo","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","celine.dibert@klaviyo.com","49 Southwark Bridge Rd
SE1 9HH London
UNITED KINGDOM
celine.dibert@klaviyo.com
https://www.klaviyo.com","How to generate more than 30% of your online revenue with marketing automation ?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Marketing automation","Solutions Workshops","How to generate more than 30% of your online revenue with marketing automation ?","",""
"SHOPIFY","https://www.shopify.com/fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","france@shopify.com","74 Rue de Rome
75008 Paris
FRANCE
france@shopify.com
https://www.shopify.com/fr","How Ysé grew its online revenue thanks to Headless Technology ?","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
CMS / Web content management
E-commerce platforms
M-Commerce / Mobile sites
Websites development / E-shops
PAYMENT SOLUTIONS
Digital Wallet
M-payment
Online payment
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","Solutions Workshops","How Ysé grew its online revenue thanks to Headless Technology ?","",""
"PAYPAL FRANCE","https://www.paypal.com/fr/business","","https://www.linkedin.com/showcase/paypal-for-business","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","bbiencourt@paypal.com","21 Rue de la Banque
75002 Paris
FRANCE
bbiencourt@paypal.com
https://www.paypal.com/fr/business","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Digital Wallet
Payment Kiosk / Payment terminal","","","",""
"PAX FRANCE NOVELPAY","http://www.paxtechnology.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","bertrand@paxtechnology.fr","93 avenue Niel
75017 Paris
FRANCE
bertrand@paxtechnology.fr
http://www.paxtechnology.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Payment Kiosk / Payment terminal","","","",""
"LA POSTE - SOGEC MARKETING","https://sogec-marketing.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sds@sogec-marketing.fr","17 rue de la Vanne
92120 Montrouge
FRANCE
sds@sogec-marketing.fr
https://sogec-marketing.com/","","","","","","","",""
"ATECNA-ORIGAMI","https://www.atecna.fr/","","https://www.linkedin.com/company/atecna/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","cpawlowski@atecna.fr","58 avenue de Flandre
59290 Wasquehal
FRANCE
cpawlowski@atecna.fr
https://www.atecna.fr/","How to capitalize on your community to engage in RSE ?","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
Digital transformation consulting
IT FOR COMMERCE
M-Commerce / Mobile sites
Technical integration
Websites development / E-shops
MARKETING / DATA / CUSTOMER RELATIONS
Ergonomics / UX","Solutions Workshops","How to capitalize on your community to engage in RSE ?","",""
